Station,Date,Time,DO,BOD,pH,Nitrate,Ammonia,Turbidity,FecalColiform,Temperature,Conductivity,FlowRate,Phosphate
Gangotri,2017-01-01,00:00:00,9.17,3.01,7.57,3.98,0.59,2.61,138.47,25.0,244.05,3.41,1.07
Rishikesh,2017-01-01,00:00:00,8.1,3.55,7.69,4.96,0.4,5.28,271.04,25.0,273.98,3.85,1.03
Haridwar,2017-01-01,00:00:00,7.78,3.8,8.03,4.76,0.51,5.03,384.19,25.0,224.41,4.7,1.53
Kanpur,2017-01-01,00:00:00,8.9,3.71,7.52,4.07,0.35,2.58,79.03,25.0,216.98,4.38,0.8
Allahabad,2017-01-01,00:00:00,7.99,3.14,7.77,4.18,0.43,1.7,2.0,25.0,254.98,4.89,1.13
Varanasi,2017-01-01,00:00:00,8.93,3.6,7.28,5.72,0.42,2.52,383.61,25.0,229.01,5.12,1.6
Patna,2017-01-01,00:00:00,8.65,3.39,7.06,4.26,0.48,1.39,311.4,25.0,296.03,3.67,0.77
Kolkata,2017-01-01,00:00:00,8.11,2.96,7.37,4.57,0.54,2.68,14.77,25.0,263.7,4.06,0.76
Gangotri,2017-01-02,00:00:00,8.04,3.67,7.12,4.92,0.41,4.06,117.24,25.0,243.42,3.26,1.15
Rishikesh,2017-01-02,00:00:00,8.29,2.89,7.54,5.0,0.47,1.35,2.0,25.0,250.42,3.4,1.26
Haridwar,2017-01-02,00:00:00,8.11,3.36,7.56,4.02,0.6,2.55,2.0,25.0,289.82,4.83,0.77
Kanpur,2017-01-02,00:00:00,8.5,4.0,8.17,5.25,0.43,3.64,2.0,25.0,248.48,3.7,1.03
Allahabad,2017-01-02,00:00:00,9.44,3.4,7.55,4.34,0.56,2.12,29.16,25.0,292.53,4.15,0.75
Varanasi,2017-01-02,00:00:00,8.01,3.34,7.18,4.55,0.65,1.99,137.2,25.0,258.02,3.84,0.91
Patna,2017-01-02,00:00:00,9.87,3.78,7.88,5.31,0.46,2.85,325.26,25.0,281.22,3.7,1.14
Kolkata,2017-01-02,00:00:00,7.48,3.92,6.63,4.32,0.35,1.14,405.47,25.0,278.08,3.79,1.06
Gangotri,2017-01-03,00:00:00,9.22,3.49,8.23,4.85,0.35,4.74,279.0,25.0,227.38,3.81,0.81
Rishikesh,2017-01-03,00:00:00,9.36,3.63,7.68,5.2,0.45,2.8,310.18,25.0,254.09,3.91,0.9
Haridwar,2017-01-03,00:00:00,7.61,3.71,7.67,5.63,0.49,4.47,474.1,25.0,236.76,3.81,0.53
Kanpur,2017-01-03,00:00:00,8.56,3.62,7.57,4.96,0.56,2.8,2.0,25.0,275.62,8.9,1.04
Allahabad,2017-01-03,00:00:00,8.71,3.62,6.93,4.77,0.32,3.08,2.0,25.0,608.77,3.3,0.81
Varanasi,2017-01-03,00:00:00,8.29,3.67,7.32,4.87,0.52,1.38,67.05,25.0,268.78,3.61,0.61
Patna,2017-01-03,00:00:00,7.83,3.35,7.42,5.54,0.75,3.93,216.12,25.0,266.22,3.67,0.98
Kolkata,2017-01-03,00:00:00,6.96,3.35,8.0,4.56,0.61,3.19,134.79,25.0,230.72,3.7,1.21
Gangotri,2017-01-04,00:00:00,8.93,3.64,7.35,4.5,0.73,2.01,2.0,25.0,271.46,4.69,0.8
Rishikesh,2017-01-04,00:00:00,9.17,3.8,6.73,4.96,0.3,4.35,221.01,25.0,249.63,4.27,1.1
Haridwar,2017-01-04,00:00:00,9.65,3.1,6.95,5.19,0.51,2.27,262.48,25.0,241.93,4.77,1.06
Kanpur,2017-01-04,00:00:00,8.02,3.85,6.75,4.99,0.73,2.1,406.61,25.0,308.39,4.12,1.04
Allahabad,2017-01-04,00:00:00,8.79,3.21,7.59,4.86,0.41,5.33,2.0,25.0,241.31,3.97,1.11
Varanasi,2017-01-04,00:00:00,8.44,3.97,7.52,5.74,0.45,5.0,2.0,25.0,215.6,3.84,0.9
Patna,2017-01-04,00:00:00,7.93,3.04,8.08,4.8,0.51,2.34,116.38,25.0,253.23,3.44,0.65
Kolkata,2017-01-04,00:00:00,7.4,3.51,7.08,4.73,0.58,1.61,284.72,25.0,219.64,4.67,0.88
Gangotri,2017-01-05,00:00:00,8.19,2.8,7.22,4.51,0.5,3.11,359.51,25.0,264.99,4.03,0.85
Rishikesh,2017-01-05,00:00:00,9.44,3.74,6.91,5.01,0.53,2.37,2.0,25.0,260.2,3.53,1.06
Haridwar,2017-01-05,00:00:00,7.96,3.51,6.56,5.5,0.63,3.92,657.82,25.0,235.14,3.87,1.17
Kanpur,2017-01-05,00:00:00,8.45,3.43,7.55,4.04,0.59,3.11,429.74,25.0,260.53,3.86,1.26
Allahabad,2017-01-05,00:00:00,8.61,3.25,7.07,5.49,0.51,4.17,111.25,25.0,259.86,3.68,1.2
Varanasi,2017-01-05,00:00:00,7.45,3.95,7.53,5.04,0.63,3.3,2.0,25.0,244.6,3.3,1.13
Patna,2017-01-05,00:00:00,8.82,3.36,6.99,5.37,0.52,5.22,89.92,25.0,250.33,3.76,0.91
Kolkata,2017-01-05,00:00:00,9.44,3.92,7.67,5.45,0.58,4.35,254.73,25.0,261.29,4.39,0.68
Gangotri,2017-01-06,00:00:00,7.72,3.62,6.78,5.34,0.55,2.53,118.26,25.0,250.87,4.16,0.85
Rishikesh,2017-01-06,00:00:00,8.27,3.31,7.39,4.55,0.55,7.82,591.97,25.0,249.97,3.91,1.15
Haridwar,2017-01-06,00:00:00,7.88,3.32,7.7,4.49,0.51,4.84,2.0,25.0,301.12,3.57,0.72
